manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
Gilgamesh,"Epic of Gilgamesh, Ae Neulgeuni",애늙은이,,Manhwa,6,129,Finished,"Aug  31, 2015 to Dec  11, 2017","ActionAction,AdventureAdventure,FantasyFantasy",,,Lezhin Comics Webtoon,Hwandaeng(Story & Art),"7.821(scored by12691,269 users)1indicates aweighted score.",#133222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6472,"3,660",54
Moon You,Moon Yoo,문유,,Manhwa,4,68,Finished,"Jun  16, 2016 to Sep  28, 2017","ComedyComedy,DramaDrama,Sci-FiSci-Fi",SpaceSpace,,Naver Webtoon,"Jo, Seok(Story & Art)",7.821(scored by740740 users)1indicates aweighted score.,#133322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8957,"2,462",35
My Kitty and Old Dog,My Young Cat and My Old Dog,내 어린고양이와 늙은개,My Kitty and Old Dog,Manhwa,3,215,Finished,"Apr  5, 2011 to Jan  15, 2013","DramaDrama,Slice of LifeSlice of Life","MemoirMemoir,PetsPets",,Naver Webtoon,Cho(Story & Art),7.821(scored by957957 users)1indicates aweighted score.,#133922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7293,"3,171",34
My Blasted Reincarnated Life,"Damn Reincarnation, Bireomeogeul Hwansaeng",빌어먹을 환생,My Blasted Reincarnated Life,Manhwa,Unknown,Unknown,Publishing,"Jun  22, 2022 to ?","ActionAction,FantasyFantasy",ReincarnationReincarnation,,KakaoPage,"Park, Jeongyeol(Art),Mongma(Story)","7.811(scored by1038810,388 users)1indicates aweighted score.",#136022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#672,"30,677",288
My Life as an Internet Novel,"Inso's Law, Inso-ui Beopchik",인소의 법칙,My Life as an Internet Novel,Manhwa,Unknown,Unknown,Publishing,"Apr  1, 2019 to ?","ComedyComedy,RomanceRomance","IsekaiIsekai,Reverse HaremReverse Harem,SchoolSchool",,KakaoPage,"Yu, Han-ryeo(Story),Ah Hyun(Art)","7.811(scored by36443,644 users)1indicates aweighted score.",#137522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2016,"11,932",292
The Summit,,절정絶頂,The Summit,Manhwa,7,Unknown,On Hiatus,2005 to  2011,Boys LoveBoys Love,,,Wink,"Lee, Young Hui(Story & Art)","7.811(scored by11781,178 users)1indicates aweighted score.",#136322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5624,"4,260",56
Orange Marmalade,,오렌지 마말레이드,,Manhwa,8,66,Finished,"Feb  12, 2011 to Dec  29, 2013","DramaDrama,RomanceRomance","SchoolSchool,VampireVampire",,Naver Webtoon,"Jung, Seok Woo(Story & Art)","7.811(scored by2155821,558 users)1indicates aweighted score.",#139022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#458,"43,244",859
Pinocchio,,피노키오,,Manhwa,7,81,Finished,"Apr  6, 2011 to Mar  2013","ComedyComedy,RomanceRomance,SupernaturalSupernatural",,,Daum Webtoon,Maru(Story & Art),"7.811(scored by14271,427 users)1indicates aweighted score.",#139122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6428,"3,685",51
The Friendly Winter,,다정한 겨울,,Manhwa,2,65,Finished,"Oct  8, 2011 to Feb  23, 2013",DramaDrama,PsychologicalPsychological,,Daum Webtoon,"Lee, Jun(Story & Art)","7.811(scored by16611,661 users)1indicates aweighted score.",#139222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4570,"5,373",84
Killer Peter,"Killer Pietro, Killer Pedro",킬러 배드로,Killer Peter,Manhwa,Unknown,Unknown,Publishing,"Sep  15, 2023 to ?",ActionAction,"Adult CastAdult Cast,Organized CrimeOrganized Crime",,Naver Webtoon,"Kim, Jung-Hyun(Story),Im, Lina(Art)","7.801(scored by25472,547 users)1indicates aweighted score.",#140222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2572,"9,422",104
Our Paradise,"Cheong-sagwa Nagwon, Green Apple Paradise Season 1",청사과 낙원,Our Paradise,Manhwa,3,26,Finished,"Oct  24, 2018 to Jun  26, 2019","Boys LoveBoys Love,DramaDrama",,,Naver Series,"Cheong, Nagwon(Story & Art)",7.801(scored by496496 users)1indicates aweighted score.,#139922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13720,"1,417",28
Lout of Count's Family,"Trash of the Count's Family, Baekjakga-ui Mangnani-ga Doeeotda",백작가의 망나니가 되었다,Lout of Count's Family,Manhwa,Unknown,Unknown,Publishing,"Aug  31, 2020 to ?",FantasyFantasy,"IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Yu, Ryeo Han(Story),PAN4(Art)","7.791(scored by97749,774 users)1indicates aweighted score.",#142322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#665,"31,137",565
Fortune-Telling Lady,A Fortune-Telling Princess,점괘보는 공녀님,Fortune-Telling Lady,Manhwa,Unknown,Unknown,Publishing,"Sep  27, 2023 to ?","FantasyFantasy,RomanceRomance,SupernaturalSupernatural",IsekaiIsekai,,KakaoPage,"Saidin(Story),Banu(Art)",7.791(scored by772772 users)1indicates aweighted score.,#142722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7045,"3,306",35
Out of Control,"Never Understand, Ihae Bulleung, Incorrigible, Guje Bulleung",이해불능,Out of Control,Manhwa,Unknown,95,Finished,"Aug  31, 2013 to Sep  11, 2019",Boys LoveBoys Love,SchoolSchool,,Lezhin Comics Webtoon,Bboong(Story & Art),"7.791(scored by22382,238 users)1indicates aweighted score.",#143222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4601,"5,336",121
Star x Fanboy,"Park Bae-woo x Kim Nam-paen, Park Baeu x Kim Nam Fan",박배우 X 김남팬,Star x Fanboy,Manhwa,4,19,Finished,"Aug  25, 2017 to Jan  4, 2020",Boys LoveBoys Love,ShowbizShowbiz,,Lezhin Comics Webtoon,"Kim, Cheomji(Story & Art)","7.791(scored by11081,108 users)1indicates aweighted score.",#143322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7164,"3,238",58
Tower of God: Urek Mazino,"Urek Mazino, Tower of God: Urek's Ascent",우렉 마지노,Tower of God: Urek Mazino,Manhwa,Unknown,Unknown,Publishing,"Apr  28, 2025 to ?","ActionAction,AdventureAdventure,DramaDrama,FantasyFantasy",,,Naver Webtoon,SIU(Story & Art),7.781(scored by621621 users)1indicates aweighted score.,#147722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8943,"2,466",19
My Daughter Is a Zombie,"Zombie Daughter, Zombie-ga Doeeo Beorin Naui Ttal",좀비가 되어버린 나의 딸,My Daughter Is a Zombie,Manhwa,7,90,Finished,"Aug  22, 2018 to May  20, 2020",ComedyComedy,,,Naver Webtoon,"Lee, Yunchang(Story & Art)",7.781(scored by538538 users)1indicates aweighted score.,#147322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15085,"1,246",28
