manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
Undercover at Chaebol High,Undercover! Chaebol High School,잠입! 재벌고,Undercover at Chaebol High,Manhwa,Unknown,Unknown,Publishing,"Feb  22, 2023 to ?","DramaDrama,MysteryMystery,RomanceRomance",SchoolSchool,,Naver Webtoon,AJ(Story & Art),7.411(scored by385385 users)1indicates aweighted score.,#385822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12326,"1,645",32
Space Cheon-ma 3077,"Cosmic Heavenly Demon 3077, Uju Cheonma 3077",우주천마 3077,Space Cheon-ma 3077,Manhwa,Unknown,Unknown,Publishing,"Aug  11, 2024 to ?","ActionAction,Sci-FiSci-Fi","Martial ArtsMartial Arts,SpaceSpace",,Naver Webtoon,"Kim, Daeyeong(Art),Noksaek Yeou(Story)",7.411(scored by375375 users)1indicates aweighted score.,#386122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12431,"1,626",3
Hell Is Other People,Strangers from Hell,타인은 지옥이다,Hell Is Other People,Manhwa,3,42,Finished,"Mar  10, 2018 to Jan  9, 2019",HorrorHorror,PsychologicalPsychological,,Naver Webtoon,"Kim, Yong-ki(Story & Art)",7.411(scored by835835 users)1indicates aweighted score.,#393822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11106,"1,879",34
A Shoulder to Cry On,Sonyeon-eul Wirohaejwo,소년을 위로해줘,A Shoulder to Cry On,Manhwa,Unknown,30,Finished,"Oct  20, 2018 to Aug  10, 2019",Boys LoveBoys Love,SchoolSchool,,Lezhin Comics Webtoon,Dongmul(Story & Art),7.401(scored by986986 users)1indicates aweighted score.,#395622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8787,"2,519",36
The House Without Time,,시간이 머문 집,,Manhwa,Unknown,Unknown,Publishing,"Aug  27, 2020 to ?","ActionAction,FantasyFantasy",Urban FantasyUrban Fantasy,,Daum Webtoon,Hego(Story & Art),7.401(scored by102102 users)1indicates aweighted score.,#395922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#29524,401,3
Change Guy,,체인지가이,Quantum Mistake,Manhwa,31,338,Finished,1998 to  2004,ActionAction,,ShounenShounen,None,"Son, Eun-Ho(Story),Choi, Myung-Soo(Art)","7.401(scored by14671,467 users)1indicates aweighted score.",#396922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7401,"3,118",29
It's Mine,,이츠마인,It's Mine,Manhwa,Unknown,158,Finished,"May  8, 2018 to Aug  11, 2021",SuspenseSuspense,PsychologicalPsychological,,Naver Webtoon,Lucks(Story & Art),"7.401(scored by23622,362 users)1indicates aweighted score.",#399722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5025,"4,833",74
My S-Class Hunters,"The S-Classes That I Raised, Naega Kiun S-geup-deul",내가 키운 S급들,My S-Class Hunters,Manhwa,Unknown,Unknown,Publishing,"Nov  15, 2021 to ?","ActionAction,AdventureAdventure,FantasyFantasy",Time TravelTime Travel,,Naver Webtoon,"Biwan(Art),Geunseo(Story)","7.401(scored by51995,199 users)1indicates aweighted score.",#399822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1368,"16,385",239
Act Like You Love Me!,Sunjeong Malgo Sunjong,순정말고 순종,Act Like You Love Me!,Manhwa,Unknown,150,Finished,"Dec  11, 2020 to Dec  17, 2023","ComedyComedy,RomanceRomance,SupernaturalSupernatural",Adult CastAdult Cast,,Naver Webtoon,Xuann(Story & Art),"7.401(scored by21542,154 users)1indicates aweighted score.",#399922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4280,"5,776",56
Master Villainess the Invincible!,"Muhyeopji Angnyeo-inde Naega Jeil Sse!, I'm a Martial Art Villainess, but I'm the Strongest!",무협지 악녀인데 내가 제일 쎄!,Master Villainess the Invincible!,Manhwa,Unknown,130,Finished,"Dec  31, 2020 to Mar  22, 2025","ActionAction,FantasyFantasy","IsekaiIsekai,Martial ArtsMartial Arts,VillainessVillainess",,KakaoPage,"Willbright(Story),Yooani(Art)","7.401(scored by14711,471 users)1indicates aweighted score.",#400022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4897,"4,992",28
Shark,,샤크,,Manhwa,Unknown,Unknown,Publishing,"Sep  23, 2016 to ?","ActionAction,DramaDrama",,,KakaoPage,"Un(Story),Kim, U-seop(Art)",7.401(scored by293293 users)1indicates aweighted score.,#400122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#14315,"1,339",17
The Return of the Disaster-Class Hero,"Resurrection of the Catastrophic Hero, Jaeang-geup Yeongung-nim-i Gwihwan Hasyeotda",재앙급 영웅님이 귀환하셨다,The Return of the Disaster-Class Hero,Manhwa,Unknown,Unknown,Publishing,"Dec  23, 2021 to ?","ActionAction,FantasyFantasy",,,KakaoPage,"Sanji Jiksong(Story),Lee, Beomgeun(Art)","7.401(scored by86548,654 users)1indicates aweighted score.",#400222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#692,"29,991",194
Juvenile Offender,Chokbeop Sonyeon,촉법소년,Juvenile Offender,Manhwa,Unknown,82,Finished,"Apr  5, 2023 to Sep  18, 2024",ActionAction,DelinquentsDelinquents,,Naver Webtoon,"Jeong, Jongtaek(Art),Namja-ui Iyagi(Story)","7.401(scored by14671,467 users)1indicates aweighted score.",#400622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6417,"3,696",23
The Martial God Who Regressed Back to Level 2,"Martial God Regressed to Level 2, The God of War Who Regressed to Level 2, 2 Level-ro Hoegwihan Musin",2레벨로 회귀한 무신,The Martial God Who Regressed Back to Level 2,Manhwa,Unknown,Unknown,Publishing,"Jul  31, 2023 to ?","ActionAction,FantasyFantasy",Time TravelTime Travel,,KakaoPage,"Yeombi(Story),Lee, Yungu(Art)","7.401(scored by38243,824 users)1indicates aweighted score.",#400822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1561,"14,974",38
Hwaja,,화자,,Manhwa,2,10,Finished,"Jun  6, 2011 to Feb  20, 2012","DramaDrama,MysteryMystery,RomanceRomance,Slice of LifeSlice of Life",PsychologicalPsychological,,Daum Webtoon,Hongjacga(Story & Art),"7.401(scored by12661,266 users)1indicates aweighted score.",#402722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6180,"3,851",38
Reincarnated Murim Lord,"Reborn as the Heavenly Demon, Reincarnation of the Heavenly Demon",환생천마,Reincarnated Murim Lord,Manhwa,Unknown,Unknown,Publishing,"Mar  17, 2024 to ?","ActionAction,FantasyFantasy","Martial ArtsMartial Arts,ReincarnationReincarnation",,Naver Webtoon,"Bookyeom(Art),Jang, Yeonghun(Story)",7.391(scored by964964 users)1indicates aweighted score.,#404822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5492,"4,386",11
Sugar Addiction,"Sugar Addiction: Funny Love, Sweet and Sour Funny Love",설탕 중독,Sugarholic,Manhwa,5,38,Finished,2005,"ComedyComedy,DramaDrama,RomanceRomance",,ShoujoShoujo,Wink,"Maria(Story & Art),Gong, GooGoo(Story & Art)",7.391(scored by666666 users)1indicates aweighted score.,#407222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13787,"1,408",7
Vanilla Ice,,바닐라 아이스,,Manhwa,4,21,On Hiatus,"2002 to Feb  23, 2004","ComedyComedy,RomanceRomance",SchoolSchool,,None,"Kim, Woo Hyun(Story & Art)",7.391(scored by786786 users)1indicates aweighted score.,#407422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9181,"2,382",11
Wait!! Wolf,,기다려!! 늑대,,Manhwa,18,Unknown,Finished,Not available,ComedyComedy,,,None,"Hwang, Mi Ri(Story & Art)",7.391(scored by473473 users)1indicates aweighted score.,#408622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13234,"1,488",9
This Villainess Wants a Divorce!,"Survive as the Hero's Wife, Yang-pan-so Juingong-ui Anae-ro Saranamgi",양판소 주인공의 아내로 살아남기,This Villainess Wants a Divorce!,Manhwa,6,118,Finished,"Dec  31, 2018 to Dec  4, 2021","FantasyFantasy,RomanceRomance",VillainessVillainess,,KakaoPage,"Nokki(Story),Abin(Art)","7.391(scored by51575,157 users)1indicates aweighted score.",#411322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2042,"11,798",84
I Am the Real One,"Actually, I Was the Real One, Actually, I'm the Real One, Sasir-eun Naega Jinjja-yeotda",사실은 내가 진짜였다,I Am the Real One,Manhwa,Unknown,Unknown,Publishing,"Sep  30, 2020 to ?","FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Samwol(Story),Yuun(Art)","7.391(scored by30073,007 users)1indicates aweighted score.",#411422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2285,"10,436",53
From a Knight to a Lady,Geu Gisa-ga Lady-ro Saneun Beop,그 기사가 레이디로 사는 법,From a Knight to a Lady,Manhwa,Unknown,192,Finished,"Mar  9, 2021 to Nov  13, 2025",FantasyFantasy,ReincarnationReincarnation,,Naver Webtoon,"Sung, Hyerim(Story),Ink.(Story & Art)","7.391(scored by18521,852 users)1indicates aweighted score.",#411522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3900,"6,311",81
I'll Save This Damned Family!,Manghal Gamun-eul Sallyeo Bogetseumnida,망할 가문을 살려보겠습니다,I'll Save This Damned Family!,Manhwa,Unknown,Unknown,Publishing,"Apr  19, 2020 to ?",FantasyFantasy,"IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Munirang(Story),Nu(Art),Olbeera(Art)",7.391(scored by480480 users)1indicates aweighted score.,#411622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9761,"2,209",17
The Blood of the Butterfly,Pi-wa Nabi,피와 나비,The Blood of the Butterfly,Manhwa,Unknown,83,Finished,"Jul  9, 2020 to Jan  13, 2022","ActionAction,FantasyFantasy",PsychologicalPsychological,,Naver Webtoon,Remin(Story & Art),"7.391(scored by10671,067 users)1indicates aweighted score.",#411722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8751,"2,534",37
My Gently Raised Beast,"I Raised the Beast Well, Gopge Ki-woss-deoni, Jimseung","곱게 키웠더니, 짐승",My Gently Raised Beast,Manhwa,9,34,Finished,"Dec  11, 2020 to Sep  24, 2022","FantasyFantasy,RomanceRomance",,,Naver Webtoon,"Ireun-kkot(Story),Yeo-seulgi(Art)","7.381(scored by36003,600 users)1indicates aweighted score.",#412522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2938,"8,401",67
She's Hopeless,Nodap Sonyeo,노답소녀,She's Hopeless,Manhwa,Unknown,103,Finished,"Nov  11, 2020 to Mar  22, 2023",RomanceRomance,SchoolSchool,,Naver Webtoon,"Jung, Seok Woo(Story & Art)","7.381(scored by26432,643 users)1indicates aweighted score.",#412722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4505,"5,476",79
Murim RPG Simulation,"Heavenly Demon Cultivation Simulation, Cultivation of Heaven, Cheonma Yukseong",천마육성,Murim RPG Simulation,Manhwa,Unknown,Unknown,Publishing,"Oct  6, 2021 to ?","ActionAction,AdventureAdventure,FantasyFantasy","Martial ArtsMartial Arts,Time TravelTime Travel,Video GameVideo Game",,Naver Webtoon,"Cho, Hyung Geun(Story),Gwanghwi(Art)","7.381(scored by23172,317 users)1indicates aweighted score.",#412822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2982,"8,284",24
Boy-Friend's Rule,"The Law of Being Friends with Men, The Law of Being Friends with a Male, Boy-Friend's Rule, Namsachin-ui Beopchik",남사친의 법칙,Boy-Friend's Rule,Manhwa,Unknown,75,Finished,"Apr  25, 2023 to Aug  20, 2024",RomanceRomance,"Love PolygonLove Polygon,SchoolSchool",,Naver Webtoon,"Lee, Doyun(Story & Art)",7.381(scored by628628 users)1indicates aweighted score.,#413122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11752,"1,750",9
100 Days in Europe,Europe-eseo 100-il,유럽에서 100일,100 Days in Europe,Manhwa,5,48,Finished,"Jun  3, 2013 to Jul  20, 2014","AdventureAdventure,DramaDrama,RomanceRomance",,,Lezhin Comics Webtoon,"Kim, Jihyo(Story & Art)",7.381(scored by154154 users)1indicates aweighted score.,#414622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#26943,483,14
For Your Murder,,당신의 살인을 위하여,For Your Murder,Manhwa,Unknown,Unknown,Publishing,"Feb  5, 2025 to ?","DramaDrama,SuspenseSuspense",,,Naver Webtoon,"Seyoon(Story),Jink(Art)",7.381(scored by142142 users)1indicates aweighted score.,#417622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#22464,670,14
Ghost Dating Simulation,"Heart-Pounding Cute Poem, Heart-Pounding Ghostly Poem",두근두근 귀연시,Ghost Dating Simulation,Manhwa,Unknown,Unknown,Publishing,"Mar  1, 2025 to ?","SupernaturalSupernatural,SuspenseSuspense","HaremHarem,Video GameVideo Game",,Naver Webtoon,Dongwoo(Story & Art),7.381(scored by215215 users)1indicates aweighted score.,#417722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18350,931,7
Love and Leashes,"Moral Sense, The Sensual M",모럴센스,Love and Leashes,Manhwa,Unknown,146,Finished,"Mar  20, 2015 to Aug  17, 2018","ComedyComedy,DramaDrama,RomanceRomance,Slice of LifeSlice of Life",,,comico,Gyeoul(Story & Art),7.381(scored by633633 users)1indicates aweighted score.,#418422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9620,"2,245",29
Priest,,프리스트,Priest,Manhwa,16,160,Finished,1998 to  2007,"ActionAction,FantasyFantasy,HorrorHorror,SupernaturalSupernatural",PsychologicalPsychological,,None,"Hyung, Min-Woo(Story & Art)","7.381(scored by16651,665 users)1indicates aweighted score.",#418822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3358,"7,386",131
The Queen's Knight,"Queen's Knight, The Queens Knight",여왕의 기사,The Queen's Knight,Manhwa,17,79,Finished,1997 to  2005,"AdventureAdventure,FantasyFantasy,RomanceRomance",,ShoujoShoujo,Party,"Kim, Kang-Won(Story & Art)",7.381(scored by972972 users)1indicates aweighted score.,#419022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7935,"2,867",39
Kiss Me Princess,,Kiss me 프린세스,Boy Princess,Manhwa,9,63,Finished,2002 to  2006,"Boys LoveBoys Love,FantasyFantasy,RomanceRomance",CrossdressingCrossdressing,,None,"Kim, Se-Young(Story & Art)","7.381(scored by17931,793 users)1indicates aweighted score.",#419322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5688,"4,209",54
Antique Romance,Antique Romance: The Picture Album Girl,소녀화첩,,Manhwa,4,27,Finished,2006,"DramaDrama,RomanceRomance",HistoricalHistorical,ShoujoShoujo,Wink,"Kimi, Mi-jung(Story & Art)","7.381(scored by16841,684 users)1indicates aweighted score.",#420822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5901,"4,062",13
Song of the Cloud,,구름의 노래,,Manhwa,2,63,Finished,"Apr  13, 2009 to Jun  21, 2010","DramaDrama,RomanceRomance,Slice of LifeSlice of Life",SchoolSchool,,Naver Webtoon,Horang(Story & Art),7.381(scored by613613 users)1indicates aweighted score.,#422922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8149,"2,773",8
God of Bath,,목욕의 신,,Manhwa,3,30,Finished,"Jul  14, 2011 to Feb  16, 2012","ComedyComedy,DramaDrama,Slice of LifeSlice of Life",,,Naver Webtoon,"Ha, Il-Kwon(Story & Art)","7.381(scored by18551,855 users)1indicates aweighted score.",#423622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6734,"3,494",49
"As You Wish, Prince","What Do You Want to Be, Prince?, Hwangja, Ne Mueosi Doego Sipeunya?","황자, 네 무엇이 되고 싶으냐?","As You Wish, Prince",Manhwa,Unknown,93,Finished,"Aug  31, 2018 to Oct  3, 2019","FantasyFantasy,RomanceRomance",IsekaiIsekai,,KakaoPage,"Ant Studio(Art),Mokgamgi(Story)","7.371(scored by22252,225 users)1indicates aweighted score.",#426922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4886,"5,004",41
Never-Ending Darling,,네버엔딩달링,Never-Ending Darling,Manhwa,Unknown,87,Finished,"Jul  8, 2021 to Jul  13, 2023","Sci-FiSci-Fi,SuspenseSuspense",PsychologicalPsychological,,Naver Webtoon,Woollee(Story & Art),7.371(scored by397397 users)1indicates aweighted score.,#427022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#16570,"1,086",9
The Rewards of Marriage,"I Found a Husband When I Picked up the Male Lead, Namju-reul Juwot-deoni Nampyeon-i Saenggyeo Beoryeotda",남주를 주웠더니 남편이 생겨버렸다,The Rewards of Marriage,Manhwa,Unknown,Unknown,Publishing,"Jan  12, 2022 to ?","FantasyFantasy,RomanceRomance","IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Choam(Story),Seochon(Art)","7.371(scored by10751,075 users)1indicates aweighted score.",#427122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4705,"5,210",26
The Villainess's Stationery Shop,"Angnyeo-ui Mungujeom-e Oji Maseyo!, Please Don't Come to the Villainess' Stationery Store!",악녀의 문구점에 오지 마세요!,The Villainess's Stationery Shop,Manhwa,Unknown,120,Finished,"Mar  26, 2022 to Nov  12, 2025",FantasyFantasy,"IsekaiIsekai,Reverse HaremReverse Harem,VillainessVillainess",,KakaoPage,"Yeo, Roeun(Story),Min, Jeolmi(Art)","7.371(scored by19651,965 users)1indicates aweighted score.",#427222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3207,"7,737",28
A Heartfelt Andante,Son An-ui Andante,손 안의 안단테,A Heartfelt Andante,Manhwa,Unknown,70,Finished,"Sep  10, 2022 to Dec  2, 2023","DramaDrama,RomanceRomance",,,Naver Webtoon,"Na, Yun-hui(Story & Art)",7.371(scored by147147 users)1indicates aweighted score.,#427422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#27466,463,7
The Archduke's Adopted Saint,A Saint Who Was Adopted by the Grand Duke,대공가에 입양된 성녀님,The Archduke's Adopted Saint,Manhwa,Unknown,Unknown,Publishing,"May  26, 2023 to ?","FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Song, Iba(Story),Hwang, Bino(Art)",7.371(scored by682682 users)1indicates aweighted score.,#427722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7426,"3,101",9
For the Third Time,Cheonnalbam-man Se Beonjjae,첫날밤만 세 번째,For the Third Time,Manhwa,Unknown,93,Finished,"Dec  24, 2022 to Sep  21, 2024",RomanceRomance,"Adult CastAdult Cast,Time TravelTime Travel,WorkplaceWorkplace",,Naver Webtoon,"Got-nyeo(Story),Naranara(Art)",7.371(scored by255255 users)1indicates aweighted score.,#427822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#19194,868,6
A Martial Master Wakes Up as a Concubine,"A Master, Who Woke Up as a Concubine, Gosu, Wakes Up as a Concubine, Gosu Hugung-eulo Kkaeeonada","고수, 후궁으로 깨어나다",A Martial Master Wakes Up as a Concubine,Manhwa,Unknown,Unknown,Publishing,"May  27, 2023 to ?","FantasyFantasy,RomanceRomance",ReincarnationReincarnation,,Naver Webtoon,"LICO(Art),Ko, Yang-hee(Story)",7.371(scored by518518 users)1indicates aweighted score.,#428022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#10466,"2,019",11
Cat in the Chrysalis,"Cat in the Pupae, Bondegi Sok Goyangi",번데기 속 고양이,Cat in the Chrysalis,Manhwa,Unknown,82,Finished,"May  22, 2023 to Oct  14, 2024","FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Jwittong Saettong(Story),Butter(Art)",7.371(scored by151151 users)1indicates aweighted score.,#428122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#23828,606,2
The Knight and Her Emperor,"The Emperor and the Female Knight, Hwangje-wa Yeogi-sa",황제와 여기사,The Knight and Her Emperor,Manhwa,10,33,Finished,"Jan  26, 2019 to Sep  8, 2023","DramaDrama,FantasyFantasy,RomanceRomance",,,KakaoPage,"Gyeoul(Art),Heyum(Art),An-gyeong Wonsung-i(Story)","7.371(scored by17541,754 users)1indicates aweighted score.",#430022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4768,"5,140",51
Cutie Boy,,큐티보이,,Manhwa,8,39,Finished,Not available,"ComedyComedy,RomanceRomance",SchoolSchool,ShoujoShoujo,None,"Hwang, Mi Ri(Story & Art)","7.371(scored by32673,267 users)1indicates aweighted score.",#431822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3849,"6,416",52
Dear Waltz,,Dear Waltz 디어 왈츠,Dear Waltz,Manhwa,9,Unknown,Finished,2007 to  2010,"RomanceRomance,Slice of LifeSlice of Life",PsychologicalPsychological,,None,"Yoon, Ji Woon(Story & Art)",7.371(scored by270270 users)1indicates aweighted score.,#432422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#19348,857,5
Being Loved for the First Time,"First Time as an Adored Youngest Child, It's My First Time Being Loved",사랑받는 막내는 처음이라,Being Loved for the First Time,Manhwa,Unknown,Unknown,Publishing,"Nov  30, 2023 to ?",FantasyFantasy,ReincarnationReincarnation,,KakaoPage,"Miraenavi(Story),Huahuachi(Art)",7.371(scored by571571 users)1indicates aweighted score.,#433122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8330,"2,695",9
Genius Archer's Livestreaming,Genius Archer's Streaming,천재 궁수의 스트리밍,Genius Archer's Livestreaming,Manhwa,Unknown,Unknown,Publishing,"Apr  30, 2024 to ?","ActionAction,FantasyFantasy",Video GameVideo Game,,KakaoPage,"Carrot Studio(Art),Kim, Mungmung(Story)","7.371(scored by10611,061 users)1indicates aweighted score.",#433222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5322,"4,523",15
Dear Waltz,,Dear Waltz 디어 왈츠,Dear Waltz,Manhwa,9,Unknown,Finished,2007 to  2010,"RomanceRomance,Slice of LifeSlice of Life",PsychologicalPsychological,,None,"Yoon, Ji Woon(Story & Art)",7.371(scored by270270 users)1indicates aweighted score.,#432422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#19348,857,5
The Knight and Her Emperor,"The Emperor and the Female Knight, Hwangje-wa Yeogi-sa",황제와 여기사,The Knight and Her Emperor,Manhwa,10,33,Finished,"Jan  26, 2019 to Sep  8, 2023","DramaDrama,FantasyFantasy,RomanceRomance",,,KakaoPage,"Gyeoul(Art),Heyum(Art),An-gyeong Wonsung-i(Story)","7.371(scored by17541,754 users)1indicates aweighted score.",#430022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4768,"5,140",51
Tomb Raider King,Dogul-wang,도굴왕,Tomb Raider King,Manhwa,Unknown,412,Finished,"Jun  30, 2019 to Mar  27, 2023","ActionAction,AdventureAdventure,FantasyFantasy",Time TravelTime Travel,,KakaoPage,"Sanji Jiksong(Story),3B2S(Art)","7.361(scored by1467114,671 users)1indicates aweighted score.",#441322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#522,"38,185",555
Back to You,"Aneun Yeojaae, Just a Girl He Knows",아는 여자애,Back to You,Manhwa,12,115,Finished,"Jan  3, 2020 to Mar  6, 2022","DramaDrama,RomanceRomance,SupernaturalSupernatural",Time TravelTime Travel,,Naver Webtoon,Honey Bee(Story & Art),"7.361(scored by11051,105 users)1indicates aweighted score.",#435922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8353,"2,690",35
Touch My Little Brother and You're Dead,"If You Touch My Little Brother, You're All Dead, Nae Dongsaeng Geondeulmyeon Neohui-neun Da Jugeun Moksum-ida",내 동생 건들면 너희는 다 죽은 목숨이다,Touch My Little Brother and You're Dead,Manhwa,Unknown,74,Discontinued,"Jul  1, 2021 to May  27, 2023","ComedyComedy,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation,Time TravelTime Travel",,KakaoPage,"Morpho(Story),Webjak Toonga(Art)","7.361(scored by12461,246 users)1indicates aweighted score.",#436022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4984,"4,877",53
June Peach,The Peach of June,유월의 복숭아,June Peach,Manhwa,Unknown,47,Finished,"Jun  4, 2022 to Jan  22, 2023","FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Yoo, Paulhee(Story),38(Art)",7.361(scored by363363 users)1indicates aweighted score.,#436122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#16684,"1,075",6
Why Don't I Have Anyone By My Side?,Naegyeoten Eopseulkka,내곁엔 없을까,,Manhwa,Unknown,92,Finished,"Jul  30, 2022 to Apr  20, 2024","DramaDrama,RomanceRomance",SchoolSchool,,Naver Webtoon,Ssunyeong(Story & Art),7.361(scored by150150 users)1indicates aweighted score.,#436422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18806,898,9
I Will Be Cinderella,,,Becoming Cinderella,Manhwa,20,Unknown,Finished,Not available,,,ShoujoShoujo,None,"Hwang, Mi Ri(Story & Art)",7.361(scored by457457 users)1indicates aweighted score.,#437222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13882,"1,395",8
I Will Become the Villain's Poison Taster,I Will Become the Villain's Poison Detector,흑막의 독 감별사가 되겠습니다,I Will Become the Villain's Poison Taster,Manhwa,Unknown,Unknown,Publishing,"Nov  2, 2023 to ?","FantasyFantasy,RomanceRomance","IsekaiIsekai,VillainessVillainess",,KakaoPage,"Nemoraming(Story),Pilyoo(Art)",7.361(scored by703703 users)1indicates aweighted score.,#439322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7584,"3,032",17
The Incognito Princess,"The Closet Fan Princess, Princess Who Hides Her Fandom",일코하는 황녀님,The Incognito Princess,Manhwa,Unknown,Unknown,Publishing,"Jun  13, 2024 to ?","FantasyFantasy,RomanceRomance","IsekaiIsekai,VillainessVillainess",,KakaoPage,"Yang-gwa Lam(Story),Hanabi(Art)",7.361(scored by275275 users)1indicates aweighted score.,#439422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13975,"1,382",5
Traces of the Sun,A Trace of the Wonder,해의 흔적,Traces of the Sun,Manhwa,Unknown,95,Finished,"Jan  1, 2022 to Feb  11, 2024","Boys LoveBoys Love,FantasyFantasy",Urban FantasyUrban Fantasy,,Ridi Webtoon,"Merin(Art),Do, Hae-neul(Story)",7.361(scored by148148 users)1indicates aweighted score.,#439822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#31364,354,7
A Lovely Meal,,식후경,A Lovely Meal,Manhwa,Unknown,Unknown,Publishing,"Mar  8, 2025 to ?","Boys LoveBoys Love,SupernaturalSupernatural",VampireVampire,,Bomtoon,SUMA(Story & Art),7.371(scored by113113 users)1indicates aweighted score.,#433722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#28106,443,7
Imitation,,이미테이션,Imitation,Manhwa,12,Unknown,Finished,"Sep  30, 2014 to Sep  21, 2021",RomanceRomance,ShowbizShowbiz,,KakaoPage,"Park, Kyun-Ran(Story & Art)",7.361(scored by468468 users)1indicates aweighted score.,#435322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12854,"1,552",25
Rebirth,ЯEBIRTH,ЯEBIRTH 리버스,Rebirth,Manhwa,26,107,Finished,1998 to  2010,"ActionAction,AdventureAdventure,FantasyFantasy,SupernaturalSupernatural",Martial ArtsMartial Arts,,Comic Champ,"Lee, Kang-Woo(Story & Art)",7.361(scored by915915 users)1indicates aweighted score.,#442822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7974,"2,850",88
